Company,Contact Name,Title,Department,Direct Phone,Mobile Phone,Corporate Phone,Email,City,State,PostalCode,LastVerifiedDate,ConfidenceScore
,,,,,,,,,Laker Hall		2000 Clayton State Blvd	Morrow	GA	30260	(404- 655-7016						Yes	No	No	Chris Falcone	201,,,
,,,,,,,,,Lakeside Foods	KAM	500 Industrial Park Rd	Brooten	MN	56316	320-346-2900		100 to 249	100,,,
No Company Match,,,,,,,,,Lance Oil	FRC	3090 Moon Station Rd Nw	Kennesaw	GA	30144	770-432-5176		10 to 19	20,,,
,,,,,,,,,Lance Wrecker Service		300 Maltbie St	Lawrenceville	GA	30046	770-963-5816				4884	Support Activities for Road Transportation	Yes	No	No	Joseph Paglia	258,,,
,,,,,,,,,Land O' Lakes		1000 Kraft Drive SE	Melrose	MN	56352	320-256-1913				3115	Dairy Product Manufacturing	Yes	No	No	Caroline Horvath	0032K,,,
,,,,,,,,,Land O'Lakes Milk		206 2nd St Ne	Pine Island	MN	55963	507-356-8318		100 to 249	100,,,
,,,,,,,,,Land Olakes Purina Feed Llc		1125 Purina Dr	Gainesville	GA	30501	770-536-8901		50 to 99	100,,,
No Company Match,,,,,,,,,Lang Farms		23588 County Road 34	Eden Valley	MN	55329	320-453-4750		1 to 4	1,,,
,,,,,,,,,LANZA TECH		535 COMMERCE DR	SOPERTON	GA	30457	912-529-7802						Yes	No	Yes	Brandi Collins	220,,,
,,,,,,,,,Larry Reid'S Chrysler	KAM	8000 Penn Ave S	Minneapolis	MN	55431	952-888-9541		50 to 99	100,,,
Legislative,,,,,,,,,Lawrenceville City Shop	MAM; FRC	20 S Clayton St	Lawrenceville	GA	30046	770-963-9299		5 to 9	10,,,
Paper,,,,,,,,,Ldi Liberty Paper	CMAM	13500 Liberty Ln	Becker	MN	55308	763-262-1196		1 to 4	2,,,
No Company Match,,,,,,,,,Lehigh Hanson		12300 Dupont Ave S # Y	Burnsville	MN	55337	952-890-1600		1 to 4	20,,,
No Company Match,,,,,,,,,Lehigh Hanson		2194 W Point Ave	College Park	GA	30337	404-669-0031		1 to 4	2,,,
,,,,,,,,,LePage & Sons		23602 University Avenue	Bethel	MN	55005	763-757-7100		1 to 4		5622	Waste Treatment and Disposal	Yes	No	No	Peter Andrews	470,,,
No Company Match,,,,,,,,,Lf Manufacturing Inc		2450 Industrial Blvd	Waycross	GA	31503	912-285-7576		20 to 49	2,,,
,,,,,,,,,Liberty Tire Recycling		12498 Wyoming Ave # 1	Savage	MN	55378	952-894-5280		50 to 99	100,,,
,,,,,,,,,Liberty Tire Recycling	FRC	1593 Huber St Nw	Atlanta	GA	30318	404-355-0547		50 to 99	100,,,
